股票代码,公司名称,营业总收入,营收同比增长率,净利润,净利润同比增长率,总资产,资产负债率,毛利率,净利率,员工人数,报告期
300657,弘信电子,,1.85%,,457.57%,,78.96%,12.70%,3.48%,,一季报
300659,中孚信息,,-31.17%,,7.67%,,30.66%,80.10%,-136.39%,,一季报
300663,科蓝软件,,-40.66%,,-391.27%,,78.23%,19.33%,-27.57%,,一季报
300666,江丰电子,,30.49%,,33.42%,,57.69%,32.86%,14.14%,,一季报
300667,必创科技,,4.09%,,91.93%,,24.71%,34.88%,-0.95%,,一季报
300670,大烨智能,,-22.27%,,45.93%,,74.82%,15.73%,-17.64%,,一季报
300674,宇信科技,,-4.32%,,-21.58%,,26.64%,33.50%,8.40%,,一季报
300678,中科信息,,123.31%,,45.51%,,30.61%,11.15%,3.97%,,一季报
300679,电连技术,,-0.39%,,-29.32%,,30.70%,28.30%,7.48%,,一季报
300680,隆盛科技,,-4.09%,,-0.89%,,47.92%,17.27%,10.70%,,一季报
300682,朗新科技,,3.98%,,-1574.78%,,27.14%,50.57%,-8.04%,,一季报
300684,中石科技,,11.55%,,4.94%,,14.83%,34.00%,16.05%,,一季报
300687,赛意信息,,-1.31%,,28.74%,,32.47%,32.37%,6.10%,,一季报
300690,双一科技,,18.42%,,-29.81%,,22.05%,28.07%,9.27%,,一季报
300691,联合光电,,22.72%,,83.89%,,46.09%,24.12%,-0.73%,,一季报
300692,中赋科技,,12.79%,,-13.35%,,50.33%,42.51%,9.04%,,一季报
300698,万马科技,,11.88%,,21.00%,,53.12%,27.81%,3.62%,,一季报
300709,精研科技,,21.92%,,-184.18%,,44.61%,18.02%,-8.35%,,一季报
300708,聚灿光电,,-42.71%,,-51.83%,,43.35%,16.79%,7.06%,,一季报
300710,万隆光电,,-19.26%,,-143.10%,,18.10%,29.33%,-21.66%,,一季报
300720,海川智能,,23.85%,,-2.90%,,9.06%,52.46%,12.41%,,一季报
300711,广哈通信,,37.01%,,-192.02%,,22.48%,50.54%,-10.68%,,一季报
300725,药石科技,,11.65%,,36.59%,,13.95%,32.14%,9.62%,,一季报
300726,宏达电子,,11.68%,,70.77%,,8.60%,60.00%,31.05%,,一季报
300730,科创信息,,-5.27%,,50.66%,,70.36%,14.68%,-86.96%,,一季报
300735,光弘科技,,85.86%,,-51.91%,,40.25%,9.69%,1.10%,,一季报
300736,百邦科技,,-17.06%,,-0.04%,,43.96%,8.93%,-5.15%,,一季报
300738,奥飞数据,,31.15%,,79.19%,,74.74%,34.51%,13.68%,,一季报
300739,明阳电路,,23.37%,,21.73%,,25.20%,23.76%,2.83%,,一季报
300745,欣锐科技,,32.47%,,115.70%,,49.90%,13.87%,0.86%,,一季报
300747,锐科激光,,20.06%,,147.04%,,32.39%,22.05%,5.03%,,一季报
300752,隆利科技,,7.93%,,-49.08%,,44.80%,15.44%,4.24%,,一季报
300763,锦浪科技,,-6.51%,,-68.59%,,51.94%,33.55%,4.31%,,一季报
300767,震安科技,,-43.65%,,73.40%,,27.18%,26.37%,-3.89%,,一季报
300768,迪普科技,,-6.71%,,50.35%,,12.85%,62.23%,17.67%,,一季报
300771,智莱科技,,20.02%,,132.20%,,18.39%,26.52%,13.20%,,一季报
300776,帝尔激光,,-24.68%,,0.33%,,39.49%,47.49%,38.73%,,一季报
300777,中简科技,,-54.60%,,-83.16%,,7.79%,70.62%,17.09%,,一季报
300784,利安科技,,-3.80%,,-46.74%,,14.78%,26.06%,6.82%,,一季报
300793,佳禾智能,,-1.54%,,-154.95%,,30.17%,8.34%,-1.81%,,一季报
300786,国林科技,,16.80%,,179.05%,,36.53%,17.71%,3.50%,,一季报
300800,力合科技,,12.47%,,28.07%,,18.39%,35.07%,8.65%,,一季报
300802,矩子科技,,11.92%,,1.02%,,19.53%,34.78%,15.90%,,一季报
300801,泰和科技,,11.66%,,202.43%,,17.44%,19.20%,11.78%,,一季报
300807,天迈科技,,-49.65%,,-872.86%,,22.30%,41.48%,-55.70%,,一季报
300823,建科智能,,36.48%,,542.13%,,26.40%,48.15%,15.22%,,一季报
300814,中富电路,,37.81%,,89.32%,,49.50%,27.06%,3.63%,,一季报
300828,锐新科技,,10.69%,,-44.55%,,14.30%,15.60%,4.14%,,一季报
300835,龙磁科技,,30.43%,,-3.11%,,50.63%,24.83%,8.02%,,一季报
300836,佰奥智能,,25.82%,,-24.73%,,50.51%,26.21%,6.96%,,一季报
300829,金丹科技,,13.40%,,-23.03%,,35.06%,19.10%,7.54%,,一季报
300840,酷特智能,,4.28%,,-19.38%,,16.47%,42.57%,7.58%,,一季报
300853,申昊科技,,258.70%,,19.21%,,59.25%,7.39%,-72.21%,,一季报
300857,协创数据,,192.90%,,343.45%,,85.89%,22.53%,12.28%,,一季报
300862,蓝盾光电,,-13.20%,,-271.99%,,16.09%,27.80%,-11.80%,,一季报
300872,天阳科技,,-8.42%,,-70.54%,,25.94%,25.95%,1.04%,,一季报
300880,迦南智能,,7.76%,,-27.41%,,31.05%,21.50%,7.40%,,一季报
300882,万胜智能,,12.39%,,-39.25%,,33.72%,28.10%,8.44%,,一季报
300891,惠云钛业,,1.62%,,-174.15%,,58.37%,8.97%,-1.37%,,一季报
300895,铜牛信息,,12.23%,,29.79%,,15.50%,-4.92%,-30.69%,,一季报
300897,山科智能,,-19.67%,,-28.09%,,25.24%,42.70%,7.49%,,一季报
