股票代码,公司名称,总市值(亿),流通市值(亿),市盈率,市净率,涨跌幅(%),当前价,近期新闻,新闻数量
300476,胜宏科技,3.53,47.55,2103.63,6.3,0.64,243.14,,0
300480,光力科技,4.46,130.3,81.38,6.49,1.39,31.42,,0
300486,东杰智能,1.8,337.58,87.05,5.13,-1.99,18.25,,0
300489,光智科技,11.52,-502.37,330.43,42.89,2.42,239.75,,0
300487,蓝晓科技,1.29,36.72,193.96,7.01,-0.35,62.97,,0
300490,华自科技,5.63,-804.36,43.88,1.98,-2.79,11.17,,0
300491,通合科技,11.44,238.64,54.53,5.08,9.15,34.6,,0
300493,润欣科技,2.84,95.23,67.33,5.7,3.83,13.29,,0
300515,三德科技,1.5,15.87,32.72,3.55,0.43,16.19,,0
300494,盛天网络,2.91,-27.22,32.78,3.05,4.05,8.23,,0
300513,恒实科技,1.8,-3.71,23.73,4.57,1.75,7.57,,0
300523,辰安科技,3.18,-23.23,47.95,5.16,3.83,20.61,,0
300522,世名科技,5.96,694.42,38.05,5.98,3.59,14.43,,0
300525,博思软件,2.21,37.25,51.08,2.57,1.72,8.3,,0
300530,领湃科技,2.78,-47.84,32.72,37.41,3.03,19.03,,0
300533,冰川网络,2.66,38.63,33.98,3.79,3.01,14.71,,0
300539,横河精密,2.21,108.26,40.37,4.32,1.65,18.53,,0
300546,雄帝科技,6.82,286.85,24.02,2.9,-1.58,17.41,,0
300543,朗科智能,2.45,-56.89,20.07,1.78,1.91,8.02,,0
300542,新晨科技,4.88,-384.75,32.3,7.07,1.02,12.82,,0
300547,川环科技,5.74,33.25,49.31,4.41,5.89,27.67,,0
300549,优德精密,2.7,300.03,15.29,3.65,3.24,14.98,,0
300550,和仁科技,6.53,182.33,35.68,3.21,15.45,13.6,,0
